match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
COPA_2015-06-21_BRAZIL_VENEZUELA,2015-06-21,Brazil,Venezuela,2,1,Copa América,Santiago,Chile,True
COPA_2015-06-21_COLOMBIA_PERU,2015-06-21,Colombia,Peru,0,0,Copa América,Temuco,Chile,True
OTHER_2015-06-21_ELLAN_VANNIN_FELVIDÉK,2015-06-21,Ellan Vannin,Felvidék,1,1,CONIFA European Football Cup,Debrecen,Hungary,True
OTHER_2015-06-21_COUNTY_OF_NICE_PADANIA,2015-06-21,County of Nice,Padania,1,4,CONIFA European Football Cup,Debrecen,Hungary,True
COPA_2015-06-24_CHILE_URUGUAY,2015-06-24,Chile,Uruguay,1,0,Copa América,Santiago,Chile,False
COPA_2015-06-25_BOLIVIA_PERU,2015-06-25,Bolivia,Peru,1,3,Copa América,Temuco,Chile,True
COPA_2015-06-26_ARGENTINA_COLOMBIA,2015-06-26,Argentina,Colombia,0,0,Copa América,Viña del Mar,Chile,True
COPA_2015-06-27_BRAZIL_PARAGUAY,2015-06-27,Brazil,Paraguay,1,1,Copa América,Concepción,Chile,True
FRIENDLY_2015-06-27_MEXICO_COSTA_RICA,2015-06-27,Mexico,Costa Rica,2,2,Friendly,Orlando,United States,True
OTHER_2015-06-28_GREENLAND_MENORCA,2015-06-28,Greenland,Menorca,2,2,Island Games,Grouville,Jersey,True
OTHER_2015-06-28_SAARE_COUNTY_ÅLAND_ISLANDS,2015-06-28,Saare County,Åland Islands,1,2,Island Games,Grouville,Jersey,True
OTHER_2015-06-28_GIBRALTAR_GOTLAND,2015-06-28,Gibraltar,Gotland,2,1,Island Games,St. Peter,Jersey,True
OTHER_2015-06-28_YNYS_MÔN_GUERNSEY,2015-06-28,Ynys Môn,Guernsey,2,5,Island Games,St. Peter,Jersey,True
OTHER_2015-06-28_FALKLAND_ISLANDS_HITRA,2015-06-28,Falkland Islands,Hitra,2,1,Island Games,St. John,Jersey,True
OTHER_2015-06-28_SHETLAND_ISLE_OF_WIGHT,2015-06-28,Shetland,Isle of Wight,0,0,Island Games,St. Lawrence,Jersey,True
OTHER_2015-06-28_WESTERN_ISLES_ISLE_OF_MAN,2015-06-28,Western Isles,Isle of Man,0,9,Island Games,St. Lawrence,Jersey,True
OTHER_2015-06-28_JERSEY_ALDERNEY,2015-06-28,Jersey,Alderney,6,0,Island Games,St Helier,Jersey,False
OTHER_2015-06-29_ISLE_OF_WIGHT_FALKLAND_ISLANDS,2015-06-29,Isle of Wight,Falkland Islands,3,0,Island Games,St. Ouen,Jersey,True
OTHER_2015-06-29_GIBRALTAR_YNYS_MÔN,2015-06-29,Gibraltar,Ynys Môn,1,1,Island Games,St Helier,Jersey,True
OTHER_2015-06-29_HITRA_SHETLAND,2015-06-29,Hitra,Shetland,1,4,Island Games,St. Brelade,Jersey,True
OTHER_2015-06-29_GUERNSEY_GOTLAND,2015-06-29,Guernsey,Gotland,3,0,Island Games,St. Brelade,Jersey,True
OTHER_2015-06-29_JERSEY_WESTERN_ISLES,2015-06-29,Jersey,Western Isles,3,0,Island Games,St Helier,Jersey,False
OTHER_2015-06-29_ÅLAND_ISLANDS_GREENLAND,2015-06-29,Åland Islands,Greenland,0,2,Island Games,St. Clement,Jersey,True
OTHER_2015-06-29_MENORCA_SAARE_COUNTY,2015-06-29,Menorca,Saare County,3,0,Island Games,St. Clement,Jersey,True
OTHER_2015-06-29_ISLE_OF_MAN_ALDERNEY,2015-06-29,Isle of Man,Alderney,7,0,Island Games,St. Ouen,Jersey,True
COPA_2015-06-29_CHILE_PERU,2015-06-29,Chile,Peru,2,1,Copa América,Santiago,Chile,False
OTHER_2015-06-30_JERSEY_ISLE_OF_MAN,2015-06-30,Jersey,Isle of Man,1,2,Island Games,St. John,Jersey,False
OTHER_2015-06-30_FALKLAND_ISLANDS_SHETLAND,2015-06-30,Falkland Islands,Shetland,0,5,Island Games,St. Peter,Jersey,True
OTHER_2015-06-30_ISLE_OF_WIGHT_HITRA,2015-06-30,Isle of Wight,Hitra,3,1,Island Games,St. Lawrence,Jersey,True
OTHER_2015-06-30_GIBRALTAR_GUERNSEY,2015-06-30,Gibraltar,Guernsey,0,4,Island Games,St Helier,Jersey,True
OTHER_2015-06-30_ALDERNEY_WESTERN_ISLES,2015-06-30,Alderney,Western Isles,2,3,Island Games,St. Peter,Jersey,True
OTHER_2015-06-30_GREENLAND_SAARE_COUNTY,2015-06-30,Greenland,Saare County,2,1,Island Games,Grouville,Jersey,True
